Emissions ktCO2eq;;;;;;;CEPII;;;;;;;;;;;;;;;OECD;;;;;;;;;;;;;;;IIASA;;;;;;;;;;;;;;;PIK;;;;;;;;;;;;;;
Country;Emission type;;;;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;
;;1990;1995;2000;2005;2010;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95
Armenia;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;GHGexclLU;24440.19;6574.62;6783.27;8461.63;9028.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;co2lu;1481.333333;810.3333333;517;-12.17333333;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;GHGtot;25921.52333;7384.953333;7300.27;8449.456667;9853.37;19073.53396;21309.97827;23489.82896;18546.38628;20724.08374;22841.13646;17698.9368;19773.13489;21788.29648;17317.8172;19345.00715;21314.268;19517.53701;21812.16386;24045.28412;12785.62889;14268.49887;15717.83828;11825.75192;13197.87651;14546.38407;11617.82474;12965.07689;14292.41205;11785.2367;13152.51482;14496.89688;13360.1396;14908.1197;16425.73797;17827.05807;19917.02171;21947.6098;17391.05413;19427.28874;21405.37123;17704.71267;19779.62149;21795.47853;16248.54569;18149.53485;19990.75019;17867.09724;19962.07357;21997.49179;13017.90686;14526.24274;16001.88433;12656.67744;14125.3986;15560.26064;12245.4953;13667.82996;15059.07836;12775.89029;14257.69257;15705.92498;12384.15833;13822.8392;15228.18522
Australia;co2;275952.01;300875.74;356112.39;409898.59;418276.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;ch4;115149.72;112637.28;128132.55;122171.91;122612.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;n2o;62892.8;57486.4;75581.1;62930;51463.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;hfc;612.48;882.98;2545.67;5145.55;6671.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;pfc;3890.36;1675.13;1206.7;872.72;471.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;sf6;478;478;478;478;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;GHGexclLU;458975.37;474035.53;564056.41;601496.77;599495.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;co2lu;106700;87633.33333;42533.33333;18076.66667;-108900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;co2luUNFCCC;124000;14000;19000;19000;23000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;GHGtot;565675.37;561668.8633;606589.7433;619573.4367;490595.31;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974;446700.6506;452247.8709;457798.1974
Azerbaijan;co2;53284.23;32034.94;28011.87;30424.61;24702.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;ch4;11458.44;9117.57;9954.63;12102.3;18400.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;n2o;2666;1853.8;2030.5;2554.4;2647.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;hfc;0.01;1.08;8.48;55.39;72.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;pfc;178.94;24.1;32.82;209.77;219.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;GHGexclLU;67587.62;43031.49;40038.3;45346.47;46042.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;co2lu;5023.333333;2739;1862.666667;1547.333333;2324.666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;GHGtot;72610.95333;45770.49;41900.96667;46893.80333;48367.26667;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967;47197.11967
