;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Kuwait;48096.65;39403.29;42481.91;44026.74;42435.13;48096.65;39403.29;42110.78;41823.47;38665.96;48096.65;39403.29;41364.7;40326.2;35961.72;48096.65;39403.29;42229.15;43821.23;41251.29;48096.65;39403.29;42752.8;41977.63;40549.36
Kyrgyzstan;1762.38;2069.55;3129.71;5727.52;10279.78;1762.38;2069.55;3090.03;5347.76;9073.85;1762.38;2069.55;2950.27;4615.45;7123.61;1762.38;2069.55;2973.44;4892.54;7824.06;1762.38;2069.55;3301.91;6646.67;12684.16
Lao People's Democratic Republic;1684.39;2242.12;3453.32;5115.57;7436.01;1684.39;2242.12;3402.43;4674.31;6285.06;1684.39;2242.12;3246.28;3977.73;4760.59;1684.39;2242.12;3242.19;3959.19;4763.17;1684.39;2242.12;3585.12;5693.26;8874.04
Latvia;13467.53;13693.37;26088.66;52379.9;99611.66;13467.53;13693.37;25954.93;50461.43;91390.35;13467.53;13693.37;24872.7;44353.41;72261.86;13467.53;13693.37;25055.7;46767.56;80782.34;13467.53;13693.37;27104.99;57154.97;113436.45
Lebanon;9753.06;12288.83;14034.81;17343.63;21692.95;9753.06;12288.83;13893.17;16310.64;19419.07;9753.06;12288.83;13257.57;13977.76;14727.32;9753.06;12288.83;13383.89;14977.35;16731.65;9753.06;12288.83;14860.13;19916.27;26834.48
Lesotho;1294.7;1602.04;2155.98;3268.22;5104.17;1294.7;1602.04;2116.97;2966.55;4257.34;1294.7;1602.04;2015.47;2483.9;3035.32;1294.7;1602.04;2015.78;2496.46;3104.41;1294.7;1602.04;2216.71;3455.84;5498.16
Liberia;336.53;492.56;819.33;1323.59;2115.72;336.53;492.56;797.32;1162.72;1681.06;336.53;492.56;755.84;957.05;1177.76;336.53;492.56;756.03;964.98;1216.43;336.53;492.56;846.04;1418.39;2363.72
Libyan Arab Jamahiriya;14454.43;16725.79;13349.39;14127.58;14473.13;14454.43;16725.79;13222.69;13403.54;13193.57;14454.43;16725.79;12907.41;12318.38;11380.08;14454.43;16725.79;13392.17;14331;14400.18;14454.43;16725.79;13498.41;13714.48;13873.76
Liechtenstein;;;;;;;;;;;;;;;;;;;;;;;;;
Lithuania;14748.13;16666.45;32127.14;64411.65;111194.45;14748.13;16666.45;31951.18;62052.26;95458.92;14748.13;16666.45;30580.55;54190.9;70101.16;14748.13;16666.45;30862.5;57585.17;94618.05;14748.13;16666.45;33469.99;70929.21;128603.16
Luxembourg;69380.78;68552.52;76008.68;92353.72;108683.94;69380.78;68552.52;72998.78;83885.55;93237.7;69380.78;68552.52;67841.29;71171.97;71124.64;69380.78;68552.52;79198.97;102506.66;126946.06;69380.78;68552.52;79120.1;101520.31;128241.55
Macedonia, the former Yugoslav Republic of;7676.83;9104.28;11825.49;15699.14;20537.38;7676.83;9104.28;11762.42;15124.51;19037.59;7676.83;9104.28;11283.45;13381.42;15440.07;7676.83;9104.28;11335.82;13915.15;16627.86;7676.83;9104.28;12444.22;17876.96;25201.27
Madagascar;849.47;849.12;880.73;1011.51;1186.89;849.47;849.12;861;896.88;948.51;849.47;849.12;822.04;760.43;720.09;849.47;849.12;821.91;763.05;735.82;849.47;849.12;911.13;1101.62;1366.8
Malawi;639.74;774.5;940.79;1418.65;2338.79;639.74;774.5;918.48;1237.41;1834.33;639.74;774.5;872.46;1020.82;1279.87;639.74;774.5;872.34;1023.21;1302.23;639.74;774.5;972.75;1540.08;2664.2
Malaysia;12130.57;13766.51;18412.04;24416.35;32893;12130.57;13766.51;18223.02;22966.33;29463.67;12130.57;13766.51;17375.51;19491.9;21997.38;12130.57;13766.51;17611.02;21166.15;25346.98;12130.57;13766.51;19296.6;27625.31;40315.27
