;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Cameroon;34.856839;34.11799352;53.0370561;89.83817474;149.4963203;34.856839;34.11799352;50.31368571;76.80116943;115.8316528;34.856839;34.11799352;46.61813052;61.62844453;78.49750235;34.856839;34.11799352;46.6065789;62.85686985;84.15974316;34.856839;34.11799352;53.61517431;95.93657489;173.5783796
Canada;1131.999962;1213.424765;1559.351862;2081.947628;2649.207612;1131.999962;1213.424765;1562.864982;2054.173296;2544.974929;1131.999962;1213.424765;1360.554387;1475.735856;1591.12467;1131.999962;1213.424765;1584.267687;2080.711298;2519.652694;1131.999962;1213.424765;1597.274913;2306.243552;3257.780959
Central African Republic;2.700030644;3.069067313;4.825462278;8.326779647;14.29191508;2.700030644;3.069067313;4.292865478;6.328052162;9.324430008;2.700030644;3.069067313;3.761484606;4.573888069;5.495692674;2.700030644;3.069067313;3.779976601;4.79774341;6.272598763;2.700030644;3.069067313;4.890792799;9.030191278;17.17807033
Chad;13.44526752;13.17841408;24.77499432;38.30860116;61.47958937;13.44526752;13.17841408;22.37672915;31.53982561;45.95826235;13.44526752;13.17841408;21.14434301;26.74548112;33.64723891;13.44526752;13.17841408;21.03568005;27.37567659;36.88517279;13.44526752;13.17841408;24.98233578;40.6675028;71.15093699
Chile;198.3655355;199.3332189;275.7430454;369.3567167;470.5210667;198.3655355;199.3332189;271.7463257;352.3352707;446.4504539;198.3655355;199.3332189;268.3051564;320.3518924;384.7555602;198.3655355;199.3332189;263.1091909;301.4004185;345.710065;198.3655355;199.3332189;278.4103002;388.6041212;523.8229232
China;5364.250895;9110.603778;24276.42642;38778.1927;47760.3025;5364.250895;9110.603778;24144.30168;37776.172;46041.77178;5364.250895;9110.603778;24047.70068;35895.45566;43047.4406;5364.250895;9110.603778;23671.31153;33844.54557;38469.94648;5364.250895;9110.603778;24472.03396;40491.31292;52636.1496
China_Taiwan;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;314.3921552;328.7857651;517.3033564;714.2254393;954.0767548;314.3921552;328.7857651;509.794336;682.3558571;883.9725599;314.3921552;328.7857651;499.8043448;629.2933287;772.0163239;314.3921552;328.7857651;488.0415273;585.71783;678.6465187;314.3921552;328.7857651;521.604937;749.0036444;1058.14849
Comoros;0.676904052;0.687843296;1.009772831;1.75058316;2.977239426;0.676904052;0.687843296;0.942519403;1.43900123;2.177368684;0.676904052;0.687843296;0.84446268;1.058760755;1.281781406;0.676904052;0.687843296;0.839672658;1.07890833;1.396745268;0.676904052;0.687843296;1.014940066;1.839074666;3.365670985
Congo;11.94633681;8.921229847;19.04282771;42.32487688;69.86768116;11.94633681;8.921229847;18.2109323;37.10238854;57.46255558;11.94633681;8.921229847;17.07106286;30.89885473;42.36106668;11.94633681;8.921229847;17.12188382;31.7641924;45.31967392;11.94633681;8.921229847;19.35336561;45.77014529;81.95125282
Congo_the Democratic Republic of the;;15.96203488;70.77067391;294.3500745;695.9287521;;15.96203488;67.62645122;252.9364581;554.3386385;;15.96203488;63.67802568;206.9242071;388.6732441;;15.96203488;63.55014063;209.4632101;409.764866;;15.96203488;71.56584559;314.7610127;810.0662898
Cook Islands;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;38.96371816;50.01794204;73.22613213;93.81819431;116.8955281;38.96371816;50.01794204;71.10192314;87.59507723;107.9702419;38.96371816;50.01794204;67.47208308;76.30357651;86.71916743;38.96371816;50.01794204;66.7168484;73.36569699;80.27319644;38.96371816;50.01794204;74.35014631;100.6635913;134.4369767
